xvariable,xvalue,xlabel_en,xlabel_ne,yvariable,yvalue,ylabel_en,ylabel_ne,total,percoftotal,variablegroup,index
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,30,0.11627906976744186,impact,21
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_lvlhd_domicile_chng_self_fml,0,No,परेन,30,0.11627906976744186,impact,22
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,15,0.05813953488372093,impact,23
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_lvlhd_domicile_chng_self_fml,0,No,परेन,9,0.03488372093023256,impact,24
m_edu_levl,1,No education (illiterate),निरक्षर,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,1,0.003875968992248062,impact,25
m_edu_levl,1,No education (illiterate),निरक्षर,i_lvlhd_domicile_chng_self_fml,0,No,परेन,0,0.0,impact,26
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,32,0.12403100775193798,impact,27
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_lvlhd_domicile_chng_self_fml,0,No,परेन,23,0.08914728682170543,impact,28
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,25,0.09689922480620156,impact,29
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,24,0.09302325581395349,impact,30
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,56,0.21705426356589147,impact,31
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,38,0.14728682170542637,impact,32
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,22,0.08527131782945736,impact,33
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,22,0.08527131782945736,impact,34
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,8,0.031007751937984496,impact,35
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,8,0.031007751937984496,impact,36
m_gender,2,Female,महिला,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,19,0.07364341085271318,impact,37
m_gender,2,Female,महिला,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,12,0.046511627906976744,impact,38
m_gender,2,Female,महिला,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,3,0.011627906976744186,impact,39
m_gender,2,Female,महिला,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,3,0.011627906976744186,impact,40
m_gender,2,Female,महिला,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,4,0.015503875968992248,impact,41
m_gender,2,Female,महिला,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,42
m_gender,1,Male,पुरुष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,201,0.7790697674418605,impact,43
m_gender,1,Male,पुरुष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,64,0.24806201550387597,impact,44
m_gender,1,Male,पुरुष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,37,0.1434108527131783,impact,45
m_gender,1,Male,पुरुष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,35,0.13565891472868216,impact,46
m_gender,1,Male,पुरुष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,32,0.12403100775193798,impact,47
m_gender,1,Male,पुरुष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,4,0.015503875968992248,impact,48
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,38,0.14728682170542637,impact,49
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,12,0.046511627906976744,impact,50
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,7,0.027131782945736434,impact,51
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,6,0.023255813953488372,impact,52
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,9,0.03488372093023256,impact,53
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,1,0.003875968992248062,impact,54
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,177,0.686046511627907,impact,55
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,63,0.2441860465116279,impact,56
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,33,0.12790697674418605,impact,57
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,31,0.12015503875968993,impact,58
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,26,0.10077519379844961,impact,59
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,2,0.007751937984496124,impact,60
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,5,0.01937984496124031,impact,61
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,1,0.003875968992248062,impact,62
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,0,0.0,impact,63
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,1,0.003875968992248062,impact,64
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,1,0.003875968992248062,impact,65
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,1,0.003875968992248062,impact,66
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,25,0.09689922480620156,impact,67
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,8,0.031007751937984496,impact,68
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,4,0.015503875968992248,impact,69
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,1,0.003875968992248062,impact,70
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,7,0.027131782945736434,impact,71
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,72
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,52,0.20155038759689922,impact,73
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,14,0.05426356589147287,impact,74
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,7,0.027131782945736434,impact,75
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,8,0.031007751937984496,impact,76
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,6,0.023255813953488372,impact,77
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,1,0.003875968992248062,impact,78
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,68,0.26356589147286824,impact,79
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,31,0.12015503875968993,impact,80
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,17,0.06589147286821706,impact,81
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,10,0.03875968992248062,impact,82
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,12,0.046511627906976744,impact,83
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,2,0.007751937984496124,impact,84
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,53,0.2054263565891473,impact,85
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,17,0.06589147286821706,impact,86
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,10,0.03875968992248062,impact,87
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,11,0.04263565891472868,impact,88
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,8,0.031007751937984496,impact,89
m_edu_levl,3,SLC or equivalent,एस्.एल.सी.,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,1,0.003875968992248062,impact,90
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,21,0.08139534883720931,impact,91
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,5,0.01937984496124031,impact,92
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,2,0.007751937984496124,impact,93
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,8,0.031007751937984496,impact,94
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,3,0.011627906976744186,impact,95
m_edu_levl,2,Can read and/or write,अक्षर चिन्ने,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,96
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,1,0.003875968992248062,impact,97
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,1,0.003875968992248062,impact,98
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,0,0.0,impact,99
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,0,0.0,impact,100
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,0,0.0,impact,101
m_edu_levl,1,No education (illiterate),निरक्षर,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,102
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,46,0.17829457364341086,impact,103
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,15,0.05813953488372093,impact,104
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,9,0.03488372093023256,impact,105
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,10,0.03875968992248062,impact,106
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,9,0.03488372093023256,impact,107
m_years_of_experience,5,15 years or more,१५ वर्ष भन्दा बढी,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,2,0.007751937984496124,impact,108
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,43,0.16666666666666666,impact,109
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,15,0.05813953488372093,impact,110
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,6,0.023255813953488372,impact,111
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,5,0.01937984496124031,impact,112
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,11,0.04263565891472868,impact,113
m_years_of_experience,4,11 to 15 years,११-१५ बर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,114
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,88,0.34108527131782945,impact,115
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,22,0.08527131782945736,impact,116
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,12,0.046511627906976744,impact,117
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,12,0.046511627906976744,impact,118
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,9,0.03488372093023256,impact,119
m_years_of_experience,3,6 to 10 years,६-१० वर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,120
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,34,0.13178294573643412,impact,121
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,16,0.06201550387596899,impact,122
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,10,0.03875968992248062,impact,123
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,9,0.03488372093023256,impact,124
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,6,0.023255813953488372,impact,125
m_years_of_experience,2,3 to 5 years,३-५ वर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,0,0.0,impact,126
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,9,0.03488372093023256,impact,127
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,8,0.031007751937984496,impact,128
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,3,0.011627906976744186,impact,129
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,2,0.007751937984496124,impact,130
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,1,0.003875968992248062,impact,131
m_years_of_experience,1,0 to 2 years,०-२ वर्ष,i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,2,0.007751937984496124,impact,132
m_gender,2,Female,महिला,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",17,0.06589147286821706,impact,133
m_gender,2,Female,महिला,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",3,0.011627906976744186,impact,134
m_gender,2,Female,महिला,i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",3,0.011627906976744186,impact,135
m_gender,2,Female,महिला,i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",2,0.007751937984496124,impact,136
m_gender,1,Male,पुरुष,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",169,0.6550387596899225,impact,137
m_gender,1,Male,पुरुष,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",46,0.17829457364341086,impact,138
m_gender,1,Male,पुरुष,i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",16,0.06201550387596899,impact,139
m_gender,1,Male,पुरुष,i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",2,0.007751937984496124,impact,140
m_gender,3,Third gender,तेस्रो लिंगी,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",0,0.0,impact,141
m_gender,3,Third gender,तेस्रो लिंगी,i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",0,0.0,impact,142
m_gender,3,Third gender,तेस्रो लिंगी,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",0,0.0,impact,143
m_gender,3,Third gender,तेस्रो लिंगी,i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",0,0.0,impact,144
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",31,0.12015503875968993,impact,145
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",8,0.031007751937984496,impact,146
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",2,0.007751937984496124,impact,147
m_age,3,41 - 60 years,४१-६० वर्ष,i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",2,0.007751937984496124,impact,148
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",151,0.5852713178294574,impact,149
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",40,0.15503875968992248,impact,150
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",16,0.06201550387596899,impact,151
m_age,2,21 - 40 years,२१-४० बर्ष,i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",2,0.007751937984496124,impact,152
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",4,0.015503875968992248,impact,153
m_age,1,Less than 20 years,०-२० बर्ष,i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",1,0.003875968992248062,impact,154
