businessname,submissiondate,businesstype,variable,value,percoftotal,total,label_en,label_ne,latitude,longitude,index
Nepal Pyramids Pvt Ltd,1,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7650888094923,85.363349712796,11
3 Sisters Adventure Trekking P(Ltd),1,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.2198688,83.9580593,12
Mount everest souvenir house,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7135681946502,85.3125867485289,13
Pilgrims Guest House P.Ltd,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.717619,85.3115799,14
The  cashmere store,1,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.2044184,83.9644088,15
Green Mansions Jungle Resort,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.5845046127971,84.4711607974195,16
Everest outdoor gears pvt ltd,1,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7156778,85.3113177,17
Alpine trekking gears pvt.ltd,1,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7152382,85.3115879,18
HOTEL,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7177391,85.3101198,19
Hotel Vinayak pvt ltd,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",26.98806,85.89996,20
HOTEL HIMALAYA PVT. LTD,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.68413,85.31941,21
Stunning Adventure,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.6891069867822,85.2478348127655,22
Downtown Restaurant,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.68076,85.31722,23
Apex himalaya trek and expedition,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7104423,85.3109739,24
Grill n’ Chill Restro and Bar,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.22345,83.9888,25
Attractive Travels and Tours Pvt. Ltd.,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7176441116934,85.3093493859829,26
Tour and trekking and Expedition,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7153213473598,85.3117415550944,27
Hotel Business,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.6632585317559,85.4449016109137,28
Reggae Bar Restaurant & lounge pvt ltd,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7147492,85.3102089,29
Agaman hotel,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7349334767156,85.3143232244077,30
DBRAND SOLUTION PVT LTD,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.6924011815381,85.3301440109144,31
Backpacker Treks & Expedition Pvt. Ltd,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7180005590084,85.3097967996561,32
Hotel Tharu Garden,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.5753519138286,84.5016726992705,33
Lotus handicraft,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7162829183416,85.3101437234923,34
Carrot holidays pvt ltd,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.6882985387026,85.3324406541961,35
Golden Cloud Adventure P. Ltd.,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.710411302506,85.3129580931116,36
Ghumante The Traveller adventure pvt ltd,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7392974199588,85.3239723928859,37
Ashirwad export,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71892,85.3122,38
Mithila women handicraft,2,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7130115973909,85.3125155738383,39
Krishna handicraft,2,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.716084576286,85.3099118032157,40
Kathmandu cityhill Apartmnet,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7209932,85.3118557,41
Nepal Highland Treks P Ltd,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7166059299288,85.3117833730153,42
Demeter Handicrafts,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7207596166803,85.3607724987554,43
Green Boutique Hotel,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7210567730833,85.3653754560733,44
Kailash cafe & bar,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7160368463001,85.3104862262585,45
Hotel Crown Plaza,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7130878,85.3281444,46
Hotel Task International Pvt. Ltd.,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.2048324,83.9986713,47
Nepali Ghar Hotel Pvt Ltd,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7165403,85.3129886,48
Hiking nepal pvt ltd,1,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71689,85.30937,49
Restutant,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71665,85.3099,50
Hemp heafquarter,2,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71587,85.30991,51
Hemp House Nepal Pvt.Ltd,1,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71575,85.30998,52
Garden of Hope Treks & Expeditions,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71459,85.31326,53
Avia tours and travels PVT LTD,1,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71423,85.31159,54
R.R.Jewellery,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7137093,85.3123409,55
Natural nepal export,2,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71736,85.31034,56
Namaste Spa Pvt.Ltd,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7151,85.312,57
Hotel,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71217,85.30787,58
Rainbow Adventure Nepal,2,Rafting,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7115056,85.3089164,59
ROSHA TRAVELS AND TOURS P. LTD,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71061,85.31213,60
Earth angle trading pvt ltd,2,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71409,85.31012,61
Alliance Treks & Expedition Pvt. Ltd.,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71223,85.31062,62
"Handicrafts (felt,woolen. Curio",2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71442,85.31192,63
Mandala Handicrafts,2,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71297,85.31228,64
Everest Tour Nepal Treks & Expedition Pvt. Ltd.,2,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.69443,85.24896,65
Orbit Nepal Adventure,1,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71305,85.31126,66
hostel nextdoor,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.684944,85.315922,67
Suburb cafe,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.684759,85.312688,68
chitwan forest resort,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.58148,84.49332,69
Kathmandu Spa,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7161657,85.3108951,70
Outlandish Nepal Holidays Ltd.,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.6742617216237,85.3691647550934,71
Subhakamana Travels and Tours,1,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.19899,83.97616,72
Asian adventure treks and expedition,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71321,85.31137,73
Wongchhu Peak Promotion Pvt. Ltd.,1,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71702,85.33378,74
Hotel Tulsi Pokhara,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.2097,83.95798,75
Hotel Luna Kathmandu,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7167297,85.3120921,76
Tiger Mountain,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.21064,84.04247,77
Om Shanti Spa,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71578,85.30944,78
Swotah Travel and Adventure Pvt. Ltd.,1,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7174198,85.3260471,79
Om Shanti Spa,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.71578,85.30945,80
Art Summit Holiday Pvt Ltd,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7175,85.32594,81
Cuisine Court,2,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.719115,85.332184,82
Spa kinjjala pvt ltd.,2,Other,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.67812,85.30827,83
Sun N Fun Holidays,2,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7043,85.33088,84
Himalaya Traders & Export,2,Other,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7148479186674,85.3113777116411,85
LEGENDS KHUKURI GALLERY PVT LTD,1,Other,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7142268,85.3113891,86
Lets trip Nepal Adventure Pvt Ltd,2,Travel and Tour Operator,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.69035,85.23849,87
Peak trekking equipment collection,2,Trekking,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7140738,85.3098685,88
Nepal Mountain Gear,2,Mountaineering,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7149361495911,85.3104505819971,89
Thamel Seasons Hotel Pvt.ltd,2,Hotel,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7179141297178,85.3101209550944,90
The freedom cafe restaurant & bar,2,Restaurant and Bar,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",28.2209793,83.9559105,91
Trekking shop,2,Trekking,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71574,85.30944,92
Tharu Home Resort,2,Hotel,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",28.46335,81.25026,93
Flight gyani Pvt ltd,2,Travel and Tour Operator,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7110507076044,85.3150705587519,94
Pashmina,1,Shop/Merchandise,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71274,85.31124,95
New light handicraft,2,Handicraft,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71361,85.31132,96
Nepal Handicraft portal,1,Travel and Tour Operator,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.7115975664926,85.3089139946971,97
Aster Hotel Nepal Pvt. Ltd.,2,Hotel,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71331,85.3114,98
Terres du Nepal Trekking,1,Trekking,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71805,85.31192,99
Pashmina Queen and Craft,2,Shop/Merchandise,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71538,85.3104,100
Himalayan Doorway,2,Travel and Tour Operator,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",28.706472,80.577207,101
Himalayan idol travel and tours,1,Travel and Tour Operator,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71301,85.31211,102
Dibya Hospitality Pvt.Ltd,1,Other,i_econ_stop_business,3,17.0,19,Permanently shutdown during the pandemic,"हो, स्थायी रूपमा रोकियो",27.71292,85.35984,103
Hotel Lakeside Pvt. Ltd,1,Hotel,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",28.2077552,83.9684899,104
B s handicrafts,1,Shop/Merchandise,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",27.71316,85.31265,105
Harry guest house and restaurant,1,Hotel,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",28.21224,83.9626,106
Yakety Yak Hostel,1,Hotel,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",27.7133876,85.31238,107
Hotel Down Town Pvt. Ltd,2,Hotel,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",27.71587,85.30982,108
HOTEL BLUE MAGNET & MULTIPURPUSE PVT.LTD.,1,Hotel,i_econ_stop_business,1,6.0,6,Never shutdown,"होइन, अपरेशनहरू सँधै चलिरहेका थिए",28.2148186,83.9618638,109
Outlandish Nepal Holidays Ltd.,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.6742617216237,85.3691647550934,110
The  cashmere store,1,Handicraft,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,28.2044184,83.9644088,111
Pashmina Queen and Craft,2,Shop/Merchandise,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.71538,85.3104,112
Terres du Nepal Trekking,1,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.71805,85.31192,113
Swotah Travel and Adventure Pvt. Ltd.,1,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7174198,85.3260471,114
Art Summit Holiday Pvt Ltd,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7175,85.32594,115
Sun N Fun Holidays,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7043,85.33088,116
Carrot holidays pvt ltd,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.6882985387026,85.3324406541961,117
Hotel Tulsi Pokhara,1,Hotel,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,28.2097,83.95798,118
Himalayan Doorway,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,28.706472,80.577207,119
Peak trekking equipment collection,2,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7140738,85.3098685,120
Attractive Travels and Tours Pvt. Ltd.,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7176441116934,85.3093493859829,121
Alpine trekking gears pvt.ltd,1,Shop/Merchandise,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7152382,85.3115879,122
Flight gyani Pvt ltd,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7110507076044,85.3150705587519,123
Lotus handicraft,2,Handicraft,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7162829183416,85.3101437234923,124
3 Sisters Adventure Trekking P(Ltd),1,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,28.2198688,83.9580593,125
Golden Cloud Adventure P. Ltd.,2,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.710411302506,85.3129580931116,126
Splash nepal adventure,1,Rafting,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7146686256428,85.3109832980832,127
Eco craft collection,1,Shop/Merchandise,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7169496294368,85.310175951392,128
Royal handicraft,1,Handicraft,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7155286407712,85.3113662974226,129
Himalayan idol travel and tours,1,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.71301,85.31211,130
Mount everest souvenir house,2,Handicraft,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7135681946502,85.3125867485289,131
Apex himalaya trek and expedition,2,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7104423,85.3109739,132
Ghumante The Traveller adventure pvt ltd,2,Travel and Tour Operator,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7392974199588,85.3239723928859,133
Green Boutique Hotel,2,Hotel,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7210567730833,85.3653754560733,134
Demeter Handicrafts,2,Handicraft,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7207596166803,85.3607724987554,135
Hotel Luna Kathmandu,1,Hotel,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7167297,85.3120921,136
Nepal Highland Treks P Ltd,2,Trekking,i_wrkfrc_size_chng_2020_v_2019,5,38.0,41,Workforce size became zero,कार्यबल आकार शून्य भयो ,27.7166059299288,85.3117833730153,137
