,RawDataColumns,DownloadsDataColumns,InputType,Group
,b_services_offered_post_covid__5,spa_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__6,swimming_pool_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__7,flight_booking_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__8,travel_guide_porter_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__9,adventure_sport_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__10,adventure_equipment_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__11,tour_package_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__12,vehicle_booking_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__13,hotel_booking_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__14,souvenir_shop_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__15,food_delivery_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__16,online_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__17,isolation_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__18,quarantine_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__19,other_service_offered_post_covid,multi-select,Impact
,p_hlth_hhs_measures__1,hhs_measures_placed_sanitizers,multi-select,Preparedness
,p_hlth_hhs_measures__2,hhs_measures_trained_employes_on_hhs,multi-select,Preparedness
,p_hlth_hhs_measures__3,hhs_measures_placed_thermal_screening,multi-select,Preparedness
,p_hlth_hhs_measures__4,hhs_measures_maintained_social_distancing,multi-select,Preparedness
,p_hlth_hhs_measures__5,hhs_measures_implemented_cashless_payment,multi-select,Preparedness
,p_hlth_hhs_measures__6,hhs_measures_discontinued_buffed_services,multi-select,Preparedness
,p_hlth_hhs_measures__7,hhs_measures_added_covid_friendly_marketing,multi-select,Preparedness
,p_hlth_hhs_measures__8,hhs_measures_outsourced_services,multi-select,Preparedness
,p_hlth_hhs_measures__9,other_hhs_measures,multi-select,Preparedness
,p_hlth_hhs_measures__10,no_hhs_measures,multi-select,Preparedness
,p_hlth_safety_measures__1,wrkrs_hlth_informed_covid_saftey_measures,multi-select,Preparedness
,p_hlth_safety_measures__2,wrkrs_hlth_encouraged_home_stay_if_sick,multi-select,Preparedness
,p_hlth_safety_measures__3,wrkrs_hlth_maintained_social_distancing,multi-select,Preparedness
,p_hlth_safety_measures__4,wrkrs_hlth_implemented_working_shifts,multi-select,Preparedness
,p_hlth_safety_measures__5,wrkrs_hlth_implemented_remote_working,multi-select,Preparedness
,p_hlth_safety_measures__6,wrkrs_hlth_performed_temperature_checks,multi-select,Preparedness
,p_hlth_safety_measures__7,wrkrs_hlth_provided_ppe,multi-select,Preparedness
,p_hlth_safety_measures__8,wrkrs_hlth_provided_paid_sick_leave,multi-select,Preparedness
,p_hlth_safety_measures__9,wrkrs_hlth_provided_covid_insurance,multi-select,Preparedness
,p_hlth_safety_measures__10,other_wrkrs_hlth_measures,multi-select,Preparedness
,p_hlth_safety_measures__11,no_wrkrs_hlth_measures,multi-select,Preparedness
,p_recvry_strategic_actions_internl__1,internl_recvry_strategy_reduce_prdocution,multi-select,Preparedness
,p_recvry_strategic_actions_internl__2,internl_recvry_strategy_increase_production,multi-select,Preparedness
,p_recvry_strategic_actions_internl__3,internl_recvry_strategy_diversify_offerings,multi-select,Preparedness
,p_recvry_strategic_actions_internl__4,internl_recvry_strategy_start_different_business,multi-select,Preparedness
,p_recvry_strategic_actions_internl__5,internl_recvry_strategy_diversify_sales_channels,multi-select,Preparedness
,p_recvry_strategic_actions_internl__6,internl_recvry_strategy_retrain_workers,multi-select,Preparedness
,p_recvry_strategic_actions_internl__7,other_internl_recvry_strategy,multi-select,Preparedness
,p_recvry_strategic_actions_internl__8,no_internl_recvry_strategy,multi-select,Preparedness
,p_recvry_strategic_actions_externl__1,externl_recvry_strategy_negotiate_bank_paymnts,multi-select,Preparedness
,p_recvry_strategic_actions_externl__2,externl_recvry_strategy_lobby_support_trade_unions,multi-select,Preparedness
,p_recvry_strategic_actions_externl__3,externl_recvry_strategy_negotiate_with_wrkrs_union,multi-select,Preparedness
,p_recvry_strategic_actions_externl__4,externl_recvry_strategy_negotiate_with_property_owner,multi-select,Preparedness
,p_recvry_strategic_actions_externl__5,externl_recvry_strategy_partner_with_other_business,multi-select,Preparedness
,p_recvry_strategic_actions_externl__6,externl_recvry_strategy_increase_shareholders,multi-select,Preparedness
,p_recvry_strategic_actions_externl__7,externl_recvry_strategy_share_assets_other_business,multi-select,Preparedness
,p_recvry_strategic_actions_externl__8,other_externl_recvry_strategy,multi-select,Preparedness
,p_recvry_strategic_actions_externl__9,no_externl_recvry_strategy,multi-select,Preparedness
,p_dedictd_covid_desk,has_dedictd_covid_desk,single-select,Preparedness
,n_rcvry_preferred_gov_policy__1,preferred_gov_rcvry_policy_establish_covid_info_source,multi-select,Need
,n_rcvry_preferred_gov_policy__2,preferred_gov_rcvry_policy_regulate_entry_ports,multi-select,Need
,n_rcvry_preferred_gov_policy__3,preferred_gov_rcvry_policy_establish_trsm_protection_fund,multi-select,Need
,n_rcvry_preferred_gov_policy__4,preferred_gov_rcvry_policy_establish_job_retention_fund,multi-select,Need
,n_rcvry_preferred_gov_policy__5,preferred_rcvry_gov_policy_provision_finance_assistance,multi-select,Need
,n_rcvry_preferred_gov_policy__6,preferred_rcvry_gov_policy_categorize_safe_unsafe_business,multi-select,Need
,n_rcvry_preferred_gov_policy__7,preferred_gov_rcvry_policy_skill_enhancement_training,multi-select,Need
,n_rcvry_preferred_gov_policy__8,preferred_gov_rcvry_policy_training_on_hhs,multi-select,Need
,n_rcvry_preferred_gov_policy__9,other_preferred_gov_rcvry_policy,multi-select,Need
,o_expectd_problms_next_6_mnths__1,problms_next_6_mnths_pay_existing_loans,multi-select,Need
,o_expectd_problms_next_6_mnths__2,problms_next_6_mnths_acquire_add_funds,multi-select,Need
,o_expectd_problms_next_6_mnths__3,problms_next_6_mnths_acquire_pay_taxes,multi-select,Need
,o_expectd_problms_next_6_mnths__4,problms_next_6_mnths_cover_operating_costs,multi-select,Need
,o_expectd_problms_next_6_mnths__5,problms_next_6_mnths_labor_related_issues,multi-select,Need
,o_expectd_problms_next_6_mnths__6,problms_next_6_mnths_attract_enough_costumers,multi-select,Need
,o_expectd_problms_next_6_mnths__7,no_problms_next_6_mnths,multi-select,Need
,n_rcvry_preferred_loan_pybck_incntv,preferred_loan_pybck_incntv,single-select,Need
,n_rcvry_preferred_fund_aprvl_incntv,preferred_fund_aprvl_incntv,single-select,Need
,n_rcvry_preferred_fin_source,preferred_fin_asstnc_source,single-select,Need
,n_rcvry_preferred_tax_asstnc,preferred_tax_asstnc,single-select,Need
,n_rcvry_preferred_tax_asstn_other,preferred_cost_asstnc,single-select,Need
,n_rcvry_preferred_labor_asstnc,preferred_labor_asstnc,single-select,Need
,n_rcvry_preferred_outreach_other,preferred_outreach_asstnc,single-select,Need
,o_do_u_know_of_gov_schemes,do_u_know_of_gov_schemes,single-select,Need
,o_how_efctv_gov_schemes__1,gov_schemes_difficult_to_understand,multi-select,Need
,o_how_efctv_gov_schemes__2,gov_schemes_hard_to_use,multi-select,Need
,o_how_efctv_gov_schemes__3,gov_schemes_not_sufficient,multi-select,Need
,o_covid_how_long_it_last,how_lng_covid_dsrupt_last,single-select,Outlook
,o_econ_impact_revenue_chng_21_v_19,revenue_gen_21_v_19,single-select,Outlook
,o_econ_impact_wrkfrc_chng_21_v_19,wrkfrc_size_chng_21_v_19,single-select,Outlook
,o_rcvry_biggest_diffclties__1,rcvry_diffclty_winning_tourist_confidence,multi-select,Outlook
,o_rcvry_biggest_diffclties__2,rcvry_diffclty_understanding_source_markets,multi-select,Outlook
,o_rcvry_biggest_diffclties__3,rcvry_diffclty_ensuring_tourist_health_saftey,multi-select,Outlook
,o_rcvry_biggest_diffclties__4,rcvry_diffclty_ensuring_workers_health_saftey,multi-select,Outlook
,o_rcvry_biggest_diffclties__5,rcvry_diffclty_goods_shortage,multi-select,Outlook
,o_rcvry_biggest_diffclties__6,rcvry_diffclty_human_resource_shortage,multi-select,Outlook
,o_rcvry_biggest_diffclties__7,rcvry_diffclty_cash_flow_shortage,multi-select,Outlook
,o_rcvry_biggest_diffclties__8,rcvry_diffclty_additional_fund_shortage,multi-select,Outlook
,o_rcvry_biggest_diffclties__9,other_rcvry_diffclty,multi-select,Outlook
,o_rcvry_biggest_diffclties_rnk1,most_significant_rcvry_difficulty,single-select,Outlook
,o_rcvry_biggest_support,biggest_support_rcvry,single-select,Outlook
,o_perm_stop_biz_start_new__1,perm_stopped_not_started_new_business,multi-select,Outlook
,o_perm_stop_biz_start_new__2,perm_stopped_started_new_trsm_business,multi-select,Outlook
,o_perm_stop_biz_start_new__3,perm_stopped_started_new_non_trsm_business,multi-select,Outlook
,o_perm_stop_biz_future_retrn_trsm_biz,perm_stopped_will_retrn_to_trsm_business,single-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__1,perm_stopped_started_hotel_accommodation_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__2,perm_stopped_started_restaurant_bar_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__3,perm_stopped_started_travel_tours_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__4,perm_stopped_started_trekking_mountaineering_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__5,perm_stopped_started_adventure_sports_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_trsm_sector__6,perm_stopped_started_other_trsm_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__1,perm_stopped_started_accountancy_finance_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__2,perm_stopped_started_consulting_management_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__3,perm_stopped_started_charity_voluntary_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__4,perm_stopped_started_art_design_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__5,perm_stopped_started_energy_utillities_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__6,perm_stopped_started_engineering_manufacturing_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__7,perm_stopped_started_environment_agriculture_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__8,perm_stopped_started_healthcare_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__9,perm_stopped_started_information_technology_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__10,perm_stopped_started_law_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__11,perm_stopped_started_marketing_pr_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__12,perm_stopped_started_internet_media_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__13,perm_stopped_started_construction_property_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__14,perm_stopped_started_public_services_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__15,perm_stopped_started_retail_sales_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__16,perm_stopped_started_teaching_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__17,perm_stopped_started_logistics_transport_business,multi-select,Outlook
,o_perm_stop_biz_new_biz_which__18,perm_stopped_started_other_non_tourism_business,multi-select,Outlook
,o_perm_stop_biz_start_new_job,perm_stopped_started_new_job,single-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__1,perm_stopped_started_shopkeeper_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__2,perm_stopped_started_tour_guide_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__3,perm_stopped_started_trekking_guide_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__4,perm_stopped_started_rafting_guide_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__5,perm_stopped_started_mountain_guide_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__6,perm_stopped_started_driver_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__7,perm_stopped_started_travel_agent_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__8,perm_stopped_started_flight_attendant_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__9,perm_stopped_started_pilot_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__10,perm_stopped_started_chef_cook_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__11,perm_stopped_started_hotel_manager_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__12,perm_stopped_started_hotel_staff_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__13,perm_stopped_started_waiter_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__14,perm_stopped_started_bartender_job,multi-select,Outlook
,o_perm_stop_biz_start_new_job_trsm_sector__15,perm_stopped_started_other_tourism_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__1,perm_stopped_started_accountancy_finance_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__2,perm_stopped_started_consulting_management_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__3,perm_stopped_started_charity_voluntary_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__4,perm_stopped_started_art_design_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__5,perm_stopped_started_energy_utillities_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__6,perm_stopped_started_engineering_manufacturing_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__7,perm_stopped_started_environment_agriculture_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__8,perm_stopped_started_healthcare_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__9,perm_stopped_started_information_technology_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__10,perm_stopped_started_law_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__11,perm_stopped_started_marketing_pr_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__12,perm_stopped_started_internet_media_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__13,perm_stopped_started_construction_property_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__14,perm_stopped_started_public_services_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__15,perm_stopped_started_sales_retail_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__16,perm_stopped_started_teaching_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__17,perm_stopped_started_logistics_transport_job,multi-select,Outlook
,o_perm_stop_biz_new_job_sector__18,perm_stopped_started_other_non_trsm_job,multi-select,Outlook
,m_dist_business,business_dist,single-select,Metadata
,m_coodinates,business_coodinates,general,Metadata
,m_biz_type,business_type,single-select,Metadata
,m_biz_years_in_operation,business_yrs_in_operation,single-select,Metadata
