Variable,ques__en,ques__ne
p_econ_self_savings_chng_today_v_19,"Compared to the end of 2019, how much savings do you have now?",सन् २०१९ को तुलनामा तपाईंँको बचत अहिले कति बाँकी रहेको छ ?
p_econ_hhd_items_pre_covid,Which of the following assets and amenities did your family have before Covid-19?,कोभिड-१९ भन्दा पहिले तपाईंँको परिवारमा निम्न मध्ये कुन-कुन सुविधाहरू थिए ?
p_econ_hhd_items_post_covid,Which of the following assets and amenities does your family have after Covid-19?,कोभिड-१९ भन्दा पछी तपाईंँको परिवारमा निम्न मध्ये कुन-कुन सुविधाहरू छन् ?
p_econ_outstndng_loans_self,Do you have an outstanding debt?,के तपाईंँको कुनै ऋण तिर्न बाँकी छ ?
p_lvlhd_num_depndnt_fml_membrs_pre_covid,"How many family members, including yourself, depended on your income before Covid-19?",कोभिड-१९ भन्दा पहिले तपाईंँको आयमा तपाईंँ लगायत कति जना परिवार सदस्यहरू निर्भर थिए?
p_lvlhd_num_depndnt_fml_membrs_post_covid,"How many family members, including yourself, depend on your income after Covid-19?",कोभिड-१९ भन्दा पछी तपाईंँको आयमा तपाईंँ लगायत कति जना परिवार सदस्यहरू निर्भर छन् ?
p_lvlhd_num_depndnt_need_fml_membrs_post_covid,How many of your family members’ basic needs can be met by your current income?,तपाईंँको हालको आय कति जना परिवार सदस्यको आधारभूत आवश्यकता पूर्ति गर्न पर्याप्त छ ?
p_hlth_vaccinated_self,Have you been vaccinated against Covid-19?,के तपाईंँले कोभिड-१९ को खोप लगाउनुभएको छ ?
p_hlth_received_hhs_training_self,Have you received any health and safety training related to Covid-19?,के तपाईंँले कोभिड-१९ सम्बन्धी स्वास्थ्य तथा सुरक्षाको तालिम प्राप्त गर्नुभएको छ ?
p_hlth_hhs_training_src,Who provided this training?,यो तालिम कहाँबाट प्राप्त गर्नुभयो?
p_hlth_hhs_training_src_other,explain others if any,अन्य खुलाउनुहोस्
p_hlth_info_covid_src,Which of the following sources do you mainly use to get information about Covid-19? (Choose three main sources),कोभिड-१९ को बारेमा जानकारी पाउन निम्न मध्ये कुन-कुन स्रोतहरू प्रयोग गर्नुहुन्छ? (मुख्य तीनवटा छान्नुहोस्)
p_hlth_info_covid_src_other,explain others if any,अन्य खुलाउनुहोस्
p_lvlhd_lrnd_new_skills,Did you learn any new skills when the your tourism-related job/profession was halted due to Covid-19?,कोभिड-१९ को कारण पर्यटन व्यवसाय बन्द रहँदा के तपाईंंले कुनै नयाँ सीप सिक्नुभयो?
p_lvlhd_what_new_skills,What skills did you learn?,कुन सीप सिक्नुभयो ?
n_rcvry_preferred_incentives,Which of the following would help in reducing the effects of COVID-19 on you?,कोभिड-१९ ले पारेको असर कम गर्न तपाईंँलाई निम्न मध्ये कुन-कुन उपयुक्त हुन्छन् ?
n_rcvry_preferred_incentives_other,explain others if any,अन्य खुलाउनुहोस्
n_rcvry_preferred_incentives_rnk_1,Which of the following will be most beneficial for you?,निम्नमध्ये सबैभन्दा महत्त्वपूर्ण सुबिधा कुन हो ?
n_rcvry_preferred_incentives_rnk_2,Which of the following will be most beneficial for you?,निम्नमध्ये सबैभन्दा महत्त्वपूर्ण सुबिधा कुन हो ?
n_rcvry_preferred_incentives_rnk_3,Which of the following will be most beneficial for you?,निम्नमध्ये सबैभन्दा महत्त्वपूर्ण सुबिधा कुन हो ?
n_rcvry_preferred_new_skills,What skills do you want to learn?,तपाईंँ कुन सीप सिक्न चाहनुहुन्छ ?
n_rcvry_preferred_new_job,What kind of job/profession are you looking for?,तपाईंँ कस्तो रोजगारी खोज्दै हुनुहुन्छ ?
o_econ_impact_fml_income_chng_21_v_19,What is the estimated income of your family in 2021 compared to 2019?,सन् २०१९ को तुलनामा सन् २०२१ मा तपाईंंको परिवारको आय कति रहने अनुमान छ?
o_econ_impact_how_long_months,How much longer will COVID-19 affect your livelihood? Provide your best estimate.,कोभिड-१९ ले तपाईंंको जिविकोपार्जनमा पारेको असर अझै कति समय सम्म रहला जस्तो छ ?
o_empl_status_to_nrml_how_long_months,How long will it take for your employment to return to normal after the tourism sector is up and running again? Provide your best estimate.,पर्यटन क्षेत्र सुचारु भएपश्चात आफ्नो रोजगार पहिलेको जस्तो अवस्थामा पुर्याउन कति समय लाग्ला?
o_rcvry_chllng_trsm_revival,What are the major challenges for the revival of the tourism sub-sector you are involved in?,तपाईंं संलग्न रहेको पर्यटन क्षेत्रको पुन:उत्थानको निम्ति प्रमुख चुनौतीहरू के-के छन् ?
o_rcvry_chllng_trsm_revival_other,explain others if any,अन्य खुलाउनुहोस्
o_rcvry_chllng_trsm_revival_rnk_1,Solving which of the following will help you the most?,निम्नमध्ये कुन चुनौतीको समाधान सबैभन्दा महत्त्वपूर्ण छ ?
o_rcvry_chllng_trsm_revival_rnk_2,Solving which of the following will help you the most?,निम्नमध्ये कुन चुनौतीको समाधान सबैभन्दा महत्त्वपूर्ण छ ?
o_rcvry_chllng_trsm_revival_rnk_3,Solving which of the following will help you the most?,निम्नमध्ये कुन चुनौतीको समाधान सबैभन्दा महत्त्वपूर्ण छ ?
o_impct_to_self_nxt_6_mnths,"If the current situation continues for the next 6 months, which of the following difficulties will you face?",आउँदो ६ महिना सम्म यही परिस्थिति रहेमा निम्नमध्ये कुन-कुन अवस्था तपाईंंले भोग्नु पर्ने हुन्छ?
o_impct_to_self_nxt_6_mnths_other,explain others if any,अन्य खुलाउनुहोस्
o_impct_to_self_nxt_6_mnths_rnk_1,Which of the following will be your biggest problem?,निम्नमध्ये कुन समस्याले तपईंलाई सबैभन्दा गाह्रो पार्छ ?
o_impct_to_self_nxt_6_mnths_rnk_2,Which of the following will be your biggest problem?,निम्नमध्ये कुन समस्याले तपईंलाई सबैभन्दा गाह्रो पार्छ ?
o_impct_to_self_nxt_6_mnths_rnk_3,Which of the following will be your biggest problem?,निम्नमध्ये कुन समस्याले तपईंलाई सबैभन्दा गाह्रो पार्छ ?
o_impct_has_assets_for_addtnl_loan,Do you have the necessary collateral/securities to secure additional loans?,थप ऋण लिन आवश्यक धितो उपलब्ध छ?
m_name,Name,नाम
m_gender,Gender,लिङ्ग
m_age,Age,उमेर
m_edu_levl,Completed educational level,पूरा गरेको शैक्षिक तह
m_years_of_experience,How long have you been working in the tourism sector?,तपाईंँ पर्यटन क्षेत्रमा काम गर्नुभएको कति समय भयो?
b_empl_trsm_major_districts,Select all the districts where you do your major tourism-related works,तपाईंंले पर्यटन सम्बन्धी काम गर्ने मुख्य जिल्ला कुन हुन् ?
b_empl_trsm_org,Are you a member of any of the following?,तपाईंं निम्न मध्ये कुन-कुन संगठनमा आवद्ध हुनुहुन्छ ?
b_empl_trsm_org_other,explain others if any,अन्य खुलाउनुहोस्
m_dist_perm,Permanent District,स्थायी जिल्ला
m_mun_perm,Permanent Rural Municipality / Municipality,स्थायी गाउँपालिका / नगरपालिका
m_mun_perm_other,Other permanent Rural Municipality / Municipality,अन्य स्थायी गाउँपालिका / नगरपालिका
m_ward_perm,Permanent Ward number,स्थायी वडा नम्बर
m_dist_temp,Temporary District,अस्थाई जिल्ला
m_mun_temp,Temporary Rural Municipality / Municipality,अस्थाई गाउँपालिका / नगरपालिका
m_mun_temp_other,Other temporary Rural Municipality / Municipality,अन्य अस्थाई गाउँपालिका / नगरपालिका
m_ward_temp,Temporary Ward number,अस्थाई वडा नम्बर
m_phone,Phone number,फोन न.
m_email,E-mail,ई-मेल
i_mental_hlth,Did you suffer any of the following psychological impact due to covid-19?,कोभिड-१९ to को कारणले गर्दा तपाईंले निम्न मध्ये कुनै पनि मनोवैज्ञानिक प्रभावहरू भोग्नुभयो?
